Warehouse_Source,Category,Subcategory,Tender_Count,Unique_Buyers,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,Active_Years,Volume_Pct,Buyer_Breadth_Pct,Recency_Pct,Lean_Pct,Open_World_Score,Discovery_Type
United Kingdom,Other,Lifts,11,10,1,15.0,18.181818181818183,4,8.5,31.916666666666664,42.833333333333336,0.08333333333333334,18.748333333333335,DATA_NATIVE_COHORT
United Kingdom,Other,Cafeteria services,11,10,1,15.0,18.181818181818183,4,8.5,31.916666666666664,42.833333333333336,0.08333333333333334,18.748333333333335,DATA_NATIVE_COHORT
Canada federal,Other,*Pipe piping and pipe fittings,10,2,1,15.0,80.0,3,0.0,3.5000000000000004,98.91666666666666,0.08333333333333334,18.734999999999996,DATA_NATIVE_COHORT
Canada federal,Other,*Defense and law enforcement and security and safety training equipment,10,2,1,15.0,80.0,4,0.0,3.5000000000000004,98.91666666666666,0.08333333333333334,18.734999999999996,DATA_NATIVE_COHORT
Canada federal,Other,*Events management *Meeting planning services,10,2,1,15.0,80.0,3,0.0,3.5000000000000004,98.91666666666666,0.08333333333333334,18.734999999999996,DATA_NATIVE_COHORT
United Kingdom,Other,Network equipment,10,8,1,15.0,30.0,4,0.0,21.916666666666668,72.08333333333333,0.08333333333333334,18.69333333333333,DATA_NATIVE_COHORT
United Kingdom,Other,Chargers,12,12,1,15.0,8.333333333333332,3,14.499999999999998,42.833333333333336,15.5,0.08333333333333334,18.586666666666666,DATA_NATIVE_COHORT
Canada federal,Other,*Building and Facility Construction and Maintenance Services *Nonresidential building construction services,15,1,1,15.0,20.0,2,31.333333333333336,0.0,46.916666666666664,0.08333333333333334,18.491666666666664,DATA_NATIVE_COHORT
Canada federal,Other,*Food Beverage and Tobacco Products,12,1,1,15.0,33.33333333333333,4,14.499999999999998,0.0,76.75,0.08333333333333334,18.474999999999998,DATA_NATIVE_COHORT
Canada federal,Other,*Vehicle servicing equipment,10,2,1,15.0,60.0,4,0.0,3.5000000000000004,97.41666666666666,0.08333333333333334,18.464999999999996,DATA_NATIVE_COHORT
Canada federal,Other,*Agricultural and forestry and landscape machinery and equipment,11,2,1,15.0,36.36363636363637,4,8.5,3.5000000000000004,82.25,0.08333333333333334,18.455,DATA_NATIVE_COHORT
Ireland,Other,Administrative healthcare services.,12,5,1,15.0,25.0,4,14.499999999999998,11.5,59.66666666666667,0.08333333333333334,18.39,DATA_NATIVE_COHORT
Canada federal,Other,*Defense or law enforcement ammunition,13,3,1,15.0,23.076923076923077,4,21.5,5.75,55.00000000000001,0.08333333333333334,18.294999999999998,DATA_NATIVE_COHORT
United Kingdom,Other,Personnel-training services,12,9,1,15.0,16.666666666666664,3,14.499999999999998,26.333333333333332,37.5,0.08333333333333334,18.256666666666664,DATA_NATIVE_COHORT
Ireland,Other,Flatbed and Tipper trucks.,12,9,1,15.0,16.666666666666664,3,14.499999999999998,26.333333333333332,37.5,0.08333333333333334,18.256666666666664,DATA_NATIVE_COHORT
United Kingdom,Other,Police services,12,9,1,15.0,16.666666666666664,4,14.499999999999998,26.333333333333332,37.5,0.08333333333333334,18.256666666666664,DATA_NATIVE_COHORT
United Kingdom,Other,Daycare services for disabled children and young people,12,9,1,15.0,16.666666666666664,2,14.499999999999998,26.333333333333332,37.5,0.08333333333333334,18.256666666666664,DATA_NATIVE_COHORT
United Kingdom,Other,Repair and maintenance services of rolling stock,11,6,1,15.0,27.27272727272727,4,8.5,14.583333333333334,65.0,0.08333333333333334,18.231666666666666,DATA_NATIVE_COHORT
Ireland,Other,"Services furnished by business, professional and specialist organisations.",17,2,1,15.0,11.76470588235294,3,39.0,3.5000000000000004,26.166666666666664,0.08333333333333334,18.12,DATA_NATIVE_COHORT
United Kingdom,Other,Multi-dwelling buildings construction work,13,12,1,15.0,0.0,3,21.5,42.833333333333336,0.0,0.08333333333333334,18.03666666666667,DATA_NATIVE_COHORT
United Kingdom,Other,Electrical domestic appliances,13,12,1,15.0,0.0,3,21.5,42.833333333333336,0.0,0.08333333333333334,18.03666666666667,DATA_NATIVE_COHORT
United Kingdom,Other,Landscaping work,13,12,1,15.0,0.0,3,21.5,42.833333333333336,0.0,0.08333333333333334,18.03666666666667,DATA_NATIVE_COHORT
Canada federal,Other,*Electric alternating current AC motors,10,1,1,15.0,100.0,2,0.0,0.0,100.0,0.08333333333333334,18.02,DATA_NATIVE_COHORT
United Kingdom,Other,Surface work for highways,13,7,1,15.0,15.384615384615385,4,21.5,18.416666666666668,34.66666666666667,0.08333333333333334,17.92833333333333,DATA_NATIVE_COHORT
United Kingdom,Other,Railway construction works,13,7,1,15.0,15.384615384615385,4,21.5,18.416666666666668,34.66666666666667,0.08333333333333334,17.92833333333333,DATA_NATIVE_COHORT
Canada federal,Other,*Chartered airplane travel,15,8,1,15.0,6.666666666666667,3,31.333333333333336,21.916666666666668,11.75,0.08333333333333334,17.86,DATA_NATIVE_COHORT
Canada federal,Other,*Electronic Components and Supplies,10,1,1,15.0,70.0,3,0.0,0.0,98.5,0.08333333333333334,17.75,DATA_NATIVE_COHORT
Canada federal,Other,"*Printers, Page, Laser - Maintenance",10,1,1,15.0,70.0,3,0.0,0.0,98.5,0.08333333333333334,17.75,DATA_NATIVE_COHORT
United Kingdom,Other,Travel services,13,10,1,15.0,7.6923076923076925,4,21.5,31.916666666666664,13.916666666666666,0.08333333333333334,17.703333333333333,DATA_NATIVE_COHORT
Canada federal,Other,*Gas analyzers and monitors,15,4,1,15.0,13.333333333333334,4,31.333333333333336,8.166666666666666,30.166666666666668,0.08333333333333334,17.599999999999998,DATA_NATIVE_COHORT
Canada federal,Other,*Roofing and siding and sheet metal services,10,4,1,15.0,40.0,4,0.0,8.166666666666666,85.75,0.08333333333333334,17.57833333333333,DATA_NATIVE_COHORT
Canada federal,Other,*Infrastructure maintenance and repair services,11,1,1,15.0,36.36363636363637,4,8.5,0.0,82.25,0.08333333333333334,17.544999999999998,DATA_NATIVE_COHORT
United Kingdom,Other,Decoration work,14,9,1,15.0,7.142857142857142,4,26.083333333333332,26.333333333333332,12.75,0.08333333333333334,17.50833333333333,DATA_NATIVE_COHORT
United Kingdom,Other,Commissioning of public lighting installations,11,9,1,15.0,18.181818181818183,4,8.5,26.333333333333332,42.833333333333336,0.08333333333333334,17.296666666666667,DATA_NATIVE_COHORT
Ireland,Other,Banking services.,11,9,1,15.0,18.181818181818183,3,8.5,26.333333333333332,42.833333333333336,0.08333333333333334,17.296666666666667,DATA_NATIVE_COHORT
United Kingdom,Other,Motor vehicle conversion services,11,9,1,15.0,18.181818181818183,4,8.5,26.333333333333332,42.833333333333336,0.08333333333333334,17.296666666666667,DATA_NATIVE_COHORT
Ireland,Other,Guidance and counselling services.,11,9,1,15.0,18.181818181818183,3,8.5,26.333333333333332,42.833333333333336,0.08333333333333334,17.296666666666667,DATA_NATIVE_COHORT
United Kingdom,Other,Urban planning and landscape architectural services,12,11,1,15.0,8.333333333333332,4,14.499999999999998,37.666666666666664,15.5,0.08333333333333334,17.243333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Mechanical engineering installation works,12,11,1,15.0,8.333333333333332,3,14.499999999999998,37.666666666666664,15.5,0.08333333333333334,17.243333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Refuse skips,12,11,1,15.0,8.333333333333332,4,14.499999999999998,37.666666666666664,15.5,0.08333333333333334,17.243333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Health insurance services,12,11,1,15.0,8.333333333333332,4,14.499999999999998,37.666666666666664,15.5,0.08333333333333334,17.243333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Financial management consultancy services,12,11,1,15.0,8.333333333333332,4,14.499999999999998,37.666666666666664,15.5,0.08333333333333334,17.243333333333332,DATA_NATIVE_COHORT
Canada federal,Other,*Specialized accommodation services,14,5,1,15.0,14.285714285714285,4,26.083333333333332,11.5,32.33333333333333,0.08333333333333334,17.176666666666666,DATA_NATIVE_COHORT
United Kingdom,Other,Railway-track maintenance services,12,8,1,15.0,16.666666666666664,3,14.499999999999998,21.916666666666668,37.5,0.08333333333333334,17.108333333333334,DATA_NATIVE_COHORT
Canada federal,Other,*Laboratory equipment maintenance,12,8,1,15.0,16.666666666666664,4,14.499999999999998,21.916666666666668,37.5,0.08333333333333334,17.108333333333334,DATA_NATIVE_COHORT
Canada federal,Other,*Transportation components and systems,10,3,1,15.0,40.0,4,0.0,5.75,85.75,0.08333333333333334,16.95,DATA_NATIVE_COHORT
United Kingdom,Other,Machines and apparatus for testing and measuring,13,6,1,15.0,15.384615384615385,3,21.5,14.583333333333334,34.66666666666667,0.08333333333333334,16.93166666666667,DATA_NATIVE_COHORT
Ireland,Other,Environmental management.,12,3,1,15.0,25.0,3,14.499999999999998,5.75,59.66666666666667,0.08333333333333334,16.895,DATA_NATIVE_COHORT
Canada federal,Other,*Sampling equipment,12,3,1,15.0,25.0,3,14.499999999999998,5.75,59.66666666666667,0.08333333333333334,16.895,DATA_NATIVE_COHORT
Canada federal,Other,*Agricultural machinery for harvesting,13,1,1,15.0,23.076923076923077,3,21.5,0.0,55.00000000000001,0.08333333333333334,16.8,DATA_NATIVE_COHORT
Canada federal,Other,*General building and office cleaning and maintenance services,10,6,1,15.0,30.0,4,0.0,14.583333333333334,72.08333333333333,0.08333333333333334,16.786666666666665,DATA_NATIVE_COHORT
Canada federal,Other,*Civil engineering,10,6,1,15.0,30.0,4,0.0,14.583333333333334,72.08333333333333,0.08333333333333334,16.786666666666665,DATA_NATIVE_COHORT
Ireland,Other,Suction-sweeper vehicles.,10,6,1,15.0,30.0,4,0.0,14.583333333333334,72.08333333333333,0.08333333333333334,16.786666666666665,DATA_NATIVE_COHORT
United Kingdom,Other,Telephone-answering services,10,10,1,15.0,20.0,4,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Engineering design services for mechanical and electrical installations for buildings,10,10,1,15.0,20.0,4,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Meter reading service,10,10,1,15.0,20.0,4,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Boiler installation work,10,10,1,15.0,20.0,4,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Electrical supplies and accessories,10,10,1,15.0,20.0,4,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,"Cleaning and sanitation services in urban or rural areas, and related services",10,10,1,15.0,20.0,4,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Office-support services,10,10,1,15.0,20.0,3,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Accommodation management services,10,10,1,15.0,20.0,3,0.0,31.916666666666664,46.916666666666664,0.08333333333333334,16.763333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Youth education services,13,11,1,15.0,0.0,3,21.5,37.666666666666664,0.0,0.08333333333333334,16.69333333333333,DATA_NATIVE_COHORT
Canada federal,Other,*Tires and tire tubes,11,4,1,15.0,27.27272727272727,3,8.5,8.166666666666666,65.0,0.08333333333333334,16.563333333333333,DATA_NATIVE_COHORT
Canada federal,Other,*Fitness equipment,10,2,1,15.0,40.0,3,0.0,3.5000000000000004,85.75,0.08333333333333334,16.365,DATA_NATIVE_COHORT
Ireland,Other,Analysis services.,14,8,1,15.0,7.142857142857142,4,26.083333333333332,21.916666666666668,12.75,0.08333333333333334,16.36,DATA_NATIVE_COHORT
Canada federal,Other,*Professional engineering services *Architectural engineering,12,2,1,15.0,25.0,4,14.499999999999998,3.5000000000000004,59.66666666666667,0.08333333333333334,16.31,DATA_NATIVE_COHORT
Canada federal,Other,*ADP Input-Output and Storage Devices - Maintenance,16,1,1,15.0,12.5,3,35.41666666666667,0.0,27.416666666666668,0.08333333333333334,16.288333333333334,DATA_NATIVE_COHORT
Canada federal,Other,*Office furniture *Seating,18,2,1,15.0,5.555555555555555,4,42.583333333333336,3.5000000000000004,9.416666666666666,0.08333333333333334,16.251666666666665,DATA_NATIVE_COHORT
United Kingdom,Other,Miscellaneous medical devices and products,13,9,1,15.0,7.6923076923076925,3,21.5,26.333333333333332,13.916666666666666,0.08333333333333334,16.251666666666665,DATA_NATIVE_COHORT
