Niche,Supplier_ID,Supplier_Name,Supplier_Country,Fractional_Awards,Observed_Awards,Niche_Fractional_Awards,Supplier_Share_Pct,rn
CMS development / migration,sup_09f326af87e57168417a,Lexmark International Ltd,United Kingdom,2.0,2,132.0,1.5151515151515151,11
CMS development / migration,sup_224a17716f20991a19fe,Gofore Oyj,FIN,2.0,2,132.0,1.5151515151515151,12
CMS development / migration,sup_25b29f3d4c3cfe96298a,Academia Ltd,United Kingdom,2.0,2,132.0,1.5151515151515151,13
CMS development / migration,sup_76c05c29159c733ae0af,OÜ Web Expert,EST,2.0,2,132.0,1.5151515151515151,14
CMS development / migration,sup_7feff0ffff824d2db8a8,OÜ Web Expert,EST,2.0,2,132.0,1.5151515151515151,15
CMS development / migration,sup_c0ea9d45b41e47aff54a,Lease Deal IT Oy,FIN,2.0,2,132.0,1.5151515151515151,16
CMS development / migration,sup_d9a6fd8a61225f95f9b3,Contentful (UK) Limited,United Kingdom,2.0,2,132.0,1.5151515151515151,17
CMS development / migration,sup_fd6f94ba2693b6468f6d,LIBÉO INC.,Canada,2.0,2,132.0,1.5151515151515151,18
CMS development / migration,sup_fee12ab1d0e90b4cd47c,KOMMPAKT AG Kommunikation,CHE,2.0,2,132.0,1.5151515151515151,19
CMS development / migration,sup_01bdb852b44db87fb9ac,"Skyfly Solutions Inc., iFathom Corp., and EPIUSE Now Inc. in Joint Venture",,1.0,1,132.0,0.7575757575757576,20
CMS development / migration,sup_07b9ab92706129f53d5e,The Dextrous Web,United Kingdom,1.0,1,132.0,0.7575757575757576,21
CMS development / migration,sup_0dd5b055f05af8495004,KontextWork GbR,DEU,1.0,1,132.0,0.7575757575757576,22
CMS development / migration,sup_10042bbc5b012906cc13,UMBRACO UK LIMITED,United Kingdom,1.0,1,132.0,0.7575757575757576,23
CMS development / migration,sup_1241a20deecb577fc25e,STRATIS,UNKNOWN,1.0,1,132.0,0.7575757575757576,24
CMS development / migration,sup_1554066e9eaa4cac88ff,CODESTONE SOLUTIONS LIMITED,United Kingdom,1.0,1,132.0,0.7575757575757576,25
Cataloguing / indexing / metadata,sup_276c05a9474ea45b3167,"OCLC, Inc.",Canada,4.0,4,11.0,36.36363636363637,1
Cataloguing / indexing / metadata,sup_403f89d96e8f2557467f,Stiftelsen Asta,NOR,3.0,3,11.0,27.272727272727273,2
Cataloguing / indexing / metadata,sup_0ae77277354d5970821d,Mastermind Ireland Limited,,1.0,1,11.0,9.090909090909092,3
Cataloguing / indexing / metadata,sup_13a119ae4e562f1d9380,isogeo,Canada,1.0,1,11.0,9.090909090909092,4
Cataloguing / indexing / metadata,sup_cf81529e9edf8a313749,Sigdal Næringsutvikling,NOR,1.0,1,11.0,9.090909090909092,5
Cataloguing / indexing / metadata,sup_28012461f4795f55ec4a,Siemens Mobility A/S,DNK,0.5,1,11.0,4.545454545454546,6
Cataloguing / indexing / metadata,sup_292a2cd82c2b1c44ecb4,Siemens Mobility GmbH,DEU,0.5,1,11.0,4.545454545454546,7
Copywriting / editorial content,sup_9bdcf944fb93e639e137,EDILEX INC.,Canada,39.0,39,430.0,9.069767441860465,1
Copywriting / editorial content,sup_2ccce632117f86b91fbd,FR_SPIE MTS SA,CHE,6.0,6,430.0,1.3953488372093024,2
Copywriting / editorial content,sup_2e131f8bc89fc0ec26d6,L'ATELIER URBAIN INC.,Canada,5.0,5,430.0,1.1627906976744187,3
Copywriting / editorial content,sup_6f79629fe8c07370e0e8,Boomerang Communication s.r.o.,CZE,5.0,5,430.0,1.1627906976744187,4
Copywriting / editorial content,sup_7b661f75471d83b15505,Société Valsoft inc.,Canada,5.0,5,430.0,1.1627906976744187,5
Copywriting / editorial content,sup_44d80b0919fc8416f8a8,"LUC DEVAR, CONSULTANT INC.",Canada,4.0,4,430.0,0.9302325581395349,6
Copywriting / editorial content,sup_56504c1ce06bc2737ed9,Competenza Formation,Canada,4.0,4,430.0,0.9302325581395349,7
Copywriting / editorial content,sup_05983029369a41a614ee,United Power 2 AB,SWE,3.0,3,430.0,0.6976744186046512,8
Copywriting / editorial content,sup_0d3cb003a84e1700e934,ITS4U,LUX,3.0,3,430.0,0.6976744186046512,9
Copywriting / editorial content,sup_39a19acae4d0542044b0,KPMG S.R.L./S.E.N.C.R.L.,Canada,3.0,3,430.0,0.6976744186046512,10
Copywriting / editorial content,sup_8185fb43eb4026cd0b12,L’Entrepreneur Académique,Canada,3.0,3,430.0,0.6976744186046512,11
Copywriting / editorial content,sup_cad8870f15cac7235fe0,NTT Technology sp. z o.o.,POL,3.0,3,430.0,0.6976744186046512,12
Copywriting / editorial content,sup_cda2dbd08ced83a52200,Coarchitecture inc.,Canada,3.0,3,430.0,0.6976744186046512,13
Copywriting / editorial content,sup_ef370f8e80ca9df63983,CCM2 Architectes inc.,Canada,3.0,3,430.0,0.6976744186046512,14
Copywriting / editorial content,sup_020c0e76b702eab1f769,Stelio Perombelon,Canada,2.0,2,430.0,0.46511627906976744,15
Copywriting / editorial content,sup_02e59dd70bb95c3b10f0,UBIQUS,UNKNOWN,2.0,2,430.0,0.46511627906976744,16
Copywriting / editorial content,sup_062fde1c6ef14b017f31,INSTITUT SUR LA GOUVERNANCE D'ORGANISATIONS PRIVÉES ET PUBLIQUES,Canada,2.0,2,430.0,0.46511627906976744,17
Copywriting / editorial content,sup_0dd87b7f01646f8eab87,"Bergeron, France",Canada,2.0,2,430.0,0.46511627906976744,18
Copywriting / editorial content,sup_1321793c49bff6cee331,"LORD, LYNN",Canada,2.0,2,430.0,0.46511627906976744,19
Copywriting / editorial content,sup_16f1fdf3572d8493d72b,"Champagne, Isabelle",Canada,2.0,2,430.0,0.46511627906976744,20
Copywriting / editorial content,sup_19e2d8526a42fe0e9bb1,Benoit Lebel,Canada,2.0,2,430.0,0.46511627906976744,21
Copywriting / editorial content,sup_1d2ab96401c08fb96939,"Tremblay , Marie-Hélène",Canada,2.0,2,430.0,0.46511627906976744,22
Copywriting / editorial content,sup_1f44b7e33e998fb5dbbb,Elena Henriikka Sulin,FIN,2.0,2,430.0,0.46511627906976744,23
Copywriting / editorial content,sup_222d9d2fdf3b79d1c934,Proconsultant Informatique S.A.,Canada,2.0,2,430.0,0.46511627906976744,24
Copywriting / editorial content,sup_22f1886df6a74d249e08,"Vigneault, France",Canada,2.0,2,430.0,0.46511627906976744,25
Data cleaning / deduplication,sup_403f89d96e8f2557467f,Framsikt AS,NOR,5.0,5,41.0,12.195121951219512,1
Data cleaning / deduplication,sup_3adc58600fd4160faaca,Paul Scherrer Institute,CHE,2.0,2,41.0,4.878048780487805,2
Data cleaning / deduplication,sup_6f79629fe8c07370e0e8,Neit Consulting s.r.o.,CZE,2.0,2,41.0,4.878048780487805,3
Data cleaning / deduplication,sup_75db05c83d53c7a69cea,Cytek Biosciences B.V.,NLD,2.0,2,41.0,4.878048780487805,4
Data cleaning / deduplication,sup_f8dd3f672253c615b84a,Bruker Nordic AB,SWE,2.0,2,41.0,4.878048780487805,5
Data cleaning / deduplication,sup_a3f57d50df041f15680f,VITO ~ VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK NV,BEL,1.1111111111111112,2,41.0,2.710027100271003,6
Data cleaning / deduplication,sup_037baff69db1d6a608e3,Acumentice Ltd,United Kingdom,1.0,1,41.0,2.4390243902439024,7
Data cleaning / deduplication,sup_07bd06d546521c7a00e3,PENNINGTON CHOICES LIMITED,United Kingdom,1.0,1,41.0,2.4390243902439024,8
Data cleaning / deduplication,sup_21d608cefc7ad1917578,A/B Sciex Oy,FIN,1.0,1,41.0,2.4390243902439024,9
Data cleaning / deduplication,sup_276652cbe7baf0bcb4a7,Monte Carlo Data Inc,United States,1.0,1,41.0,2.4390243902439024,10
Data cleaning / deduplication,sup_29ec708acb53c25e535a,Regnology Ireland Ltd.,IRL,1.0,1,41.0,2.4390243902439024,11
Data cleaning / deduplication,sup_2a34429be977dd223e18,Phoenix Software Ltd,United Kingdom,1.0,1,41.0,2.4390243902439024,12
Data cleaning / deduplication,sup_2ccce632117f86b91fbd,FR_Colombus Consulting SA,CHE,1.0,1,41.0,2.4390243902439024,13
Data cleaning / deduplication,sup_40e5a92eb2ef8ee191bf,CatalystOne Solutions AS,NOR,1.0,1,41.0,2.4390243902439024,14
Data cleaning / deduplication,sup_44ea09b8d144d639807e,Bruker Nordic AB,SWE,1.0,1,41.0,2.4390243902439024,15
Data cleaning / deduplication,sup_48d9f70ef29ca5aa868c,A/B Sciex Oy,FIN,1.0,1,41.0,2.4390243902439024,16
Data cleaning / deduplication,sup_5480a4fe5855a8a7b367,Metabolon Inc,USA,1.0,1,41.0,2.4390243902439024,17
Data cleaning / deduplication,sup_6002131fbc11798b0b73,Cytek Biosciences B.V,NLD,1.0,1,41.0,2.4390243902439024,18
Data cleaning / deduplication,sup_61b7eb2279f733440747,Answer Digital Limited,United Kingdom,1.0,1,41.0,2.4390243902439024,19
Data cleaning / deduplication,sup_655d7a7eadf3829bdec1,Beamtree Europe Pte Ltd,,1.0,1,41.0,2.4390243902439024,20
Data cleaning / deduplication,sup_751d2a0be33c8eaaa87d,TOTAL SERVICE a.s.,CZE,1.0,1,41.0,2.4390243902439024,21
Data cleaning / deduplication,sup_899ffd6a04f61dbbd071,EXPERIAN LIMITED,United Kingdom,1.0,1,41.0,2.4390243902439024,22
Data cleaning / deduplication,sup_8b7a9d6e97226a202ad7,Collibra,United Kingdom,1.0,1,41.0,2.4390243902439024,23
Data cleaning / deduplication,sup_8d2821b97d791bed3a3e,Insource Select Limited,United Kingdom,1.0,1,41.0,2.4390243902439024,24
Data cleaning / deduplication,sup_90f599af60f9936c42d7,Ideal Health Consultants Ltd,United Kingdom,1.0,1,41.0,2.4390243902439024,25
Data entry / back-office processing,sup_66a4afa1c8ec37c7ad8e,Maggioli S.p.a.,ITA,7.0,7,59.0,11.864406779661017,1
Data entry / back-office processing,sup_33ce3225cb545328d637,Digitarca S.rl.s.,ITA,4.0,4,59.0,6.779661016949152,2
Data entry / back-office processing,sup_403f89d96e8f2557467f,Sikri AS,NOR,2.0,2,59.0,3.389830508474576,3
Data entry / back-office processing,sup_50cd676c0211535f89ca,VIKING SOFTWARE SOLUTIONS,Canada,2.0,2,59.0,3.389830508474576,4
Data entry / back-office processing,sup_b520b2ce1cc310f59a62,Science du bâtiment ALTA Building Science Inc.,Canada,2.0,2,59.0,3.389830508474576,5
