Niche,Macro_Category,Historical_Tender_ID,Title,Buyer_ID,Buyer_Name,Country,Warehouse_Source,Publication_Date,Deadline,Category,Subcategory,Currency,Official_Estimated_Value,Source_URL,Source_Reference
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_7f376aa64e052617c922,"Furnizare Medicamente – 2 – 2026 – DCI ‚,SEBELIPASE ALFA 2MG/ML’’",buy_56f10621e0007ccb73ca,Spitalul Clinic de Urgenta pentru Copii Cluj-Napoca,ROU,TED,2026-08-12,2026-09-11,Printing,Print / routing,RON,16224942.72,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_5c4f2be4932722296d0b,"Execuție lucrări pentru obiectivul „Creșterea eficienței energetice a clădirilor rezidențiale din Municipiul Lupeni, Blocul 16, strada Bărbăteni”, Cod SMIS 348078",buy_56f10621e0007ccb73ca,Municipiul Lupeni,ROU,TED,2026-08-11,2026-09-14,Printing,Print / routing,RON,5591384.23,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_f81db9d92e84820d64f5,"Framework agreement for periodicals, printed and electronic",buy_581df20f038735ed5497,UNIVERSITY OF INLAND NORWAY,NOR,TED,2026-08-10,2026-09-15,Printing,Print / routing,,,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_0f27bb99d6c9fa1cda28,Tonere și consumabile pentru imprimante pentru departamentele care nu au fost cuprinse in contractul de servicii de printare,buy_56f10621e0007ccb73ca,MUNICIPIUL ARAD,ROU,TED,2026-08-07,2026-09-11,Printing,Print / routing,RON,49586.77,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_59f860c5e27d9e65da27,Proiectare si Executie Lucrări pentru obiectivul de investiție “CONSTRUIRE PASAJ RUTIER CARTIER TRACTORUL-BDUL.GRIVIȚEI ȘI LEGĂTURI INTRE I.C. BRĂTIANU ȘI BDUL. GRIVIȚEI”,buy_56f10621e0007ccb73ca,MUNICIPIUL BRASOV,ROU,TED,2026-08-06,2026-09-10,Printing,Print / routing,RON,59270040.41,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_5bd3e2bced7b23ba03f4,"Execuție lucrări pentru obiectivul ”Eficientizare energetică clădiri rezidențiale în Municipiul Lupeni, Bloc F3, Strada Bucura” Cod SMIS 348068",buy_56f10621e0007ccb73ca,Municipiul Lupeni,ROU,TED,2026-08-06,2026-09-09,Printing,Print / routing,RON,3392320.49,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_853ac958d955b1a90f66,Kommunikationstjänster,buy_3d59e3bbb5e2f64301ba,Räddningstjänsten Östra Götaland,SWE,TED,2026-08-06,2026-09-11,Printing,Print / routing,SEK,4000000.0,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_3a2499b40f0edb777119,Stivuitoare și electrocare prin contractarea unei finanțări de tip leasing financiar,buy_56f10621e0007ccb73ca,NUCLEARELECTRICA SERV S.R.L.,ROU,TED,2026-08-05,2026-09-14,Printing,Print / routing,RON,572832.5,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_0a1ce554f7f1bc88db9d,"SPD2/2026/013 - FRAMEWORK CONTRACT FOR THE SUPPLY, DELIVERY AND INSTALLATION OF SEVENTY-TWO (72) LEASED ENERGY-EFFICIENT PRINTERS AND MULTIFUNCTION DEVICES, INCLUDING A FULL SERVICE AND MAINTENANCE AGREEMENT (FSMA), FOR IDENTITÀ",buy_49603fbd0efcf57ee39e,Sectoral Procurement Directorate,MLT,TED,2026-08-03,2026-09-07,Printing,Print / routing,EUR,385000.0,,
Brochure / flyer / poster printing,PRINT_BROKERAGE,ted_af316786c0afc55e96cd,"Mijloace de mobilitate terestră pentru proiectul „Efficient Management of CBRN Emergencies Caused by Natural Disaster (CBRN Guard) – ROMD00078” LOT nr. 1 - 1 cpl. ,,Autovehicul cu capacitatea de 17+1 locuri” LOT nr. 2 - 3 cpl. ,,Autovehicul de patrulare 8+1 locuri” LOT nr. 3 - 1 cpl. ,,Cvadriciclu - ATV”",buy_56f10621e0007ccb73ca,Unitatea Militara 0908 IASI,ROU,TED,2026-08-03,2026-09-07,Printing,Print / routing,RON,1296363.64,,
CMS development / migration,WEB_DIGITAL,ten_0694122ab6739115caf7,"New SAP Business Objects Licenses, Installation, Upgrade, Migration and Web Intelligence User Training and Ongoing Support",buy_0cb3669d89fe10d7c694,Epping Forest District Council,United Kingdom,United Kingdom,2026-07-30,,Other,UNKNOWN,GBP,,,
CMS development / migration,WEB_DIGITAL,ten_0700d409ec2d3cb171b1,Wartungsvertrag TYPO3 und Webserver,,,Germany,Germany,2026-07-30,,Automation / software,IT services / software,EUR,,,
CMS development / migration,WEB_DIGITAL,ten_3b29969fd798db2c5097,Component Content Management System (CCMS),buy_a19d53cc25f83c792ad1,National Research Council of Canada (NRC),Canada,Canada federal,2026-07-28,2026-08-12,Other,*Content management software,CAD,,,
CMS development / migration,WEB_DIGITAL,ted_939ae25cc288bc97f92f,"Servicio de conceptualización, diseño, programación, contenidos y mantenimiento técnico de webs de la Gerencia de Área",buy_262acb26bfbdf5a4121e,AYUNTAMIENTO DE BARCELONA,ESP,TED,2026-07-20,,Automation / software,IT services / software,EUR,440695.71,,
CMS development / migration,WEB_DIGITAL,ten_c4d1eefebd6246fdbd3e,Hébergement et tierce maintenance applicative des sites internet du Sénat sous TYPO3,buy_f3140314dfd5b71717e7,Sénat,France,France,2026-07-19,,Other,Services,EUR,,,
CMS development / migration,WEB_DIGITAL,ten_6b64d6e1a7d1051476b5,EU_1038 - SSJ Drupal Bureau2025-6,,,United Kingdom,United Kingdom,2026-07-09,,Other,UNKNOWN,GBP,,,
CMS development / migration,WEB_DIGITAL,ten_96dd0b2cc37bea837b47,Pflege und Weiterentwicklung TYPO3,,,Germany,Germany,2026-07-02,2026-08-31,Automation / software,IT services / software,EUR,,,
CMS development / migration,WEB_DIGITAL,ted_e77880f45ba3d46c0ebc,"Contrato de servicios de mantenimiento (preventivo y correctivo), soporte técnico, desarrollo evolutivo y formación para portales Drupal de la Universidad de Jaén.",buy_262acb26bfbdf5a4121e,Rectorado de la Universidad de Jaén,ESP,TED,2026-06-22,2026-07-22,Automation / software,IT services / software,EUR,224010.0,,
